Date,Open,High,Low,Close,Adj Close,Volume
1997-10-22,30.000000,30.093750,29.437500,29.656250,11.917727,4598200
1997-10-23,29.187500,29.187500,28.406250,28.843750,11.591210,13684000
1997-10-24,28.843750,29.593750,27.562500,27.750000,11.151677,15190400
1997-10-27,27.750000,28.437500,26.562500,26.781250,10.762376,16333400
1997-10-28,26.781250,28.968750,25.000000,28.875000,11.603768,25395200
1997-10-29,28.875000,29.468750,28.218750,28.562500,11.478193,14566400
1997-10-30,28.562500,29.312500,28.000000,28.000000,11.252147,9341400
1997-10-31,28.156250,28.812500,28.156250,28.312500,11.377722,8183600
1997-11-03,28.500000,29.218750,28.500000,29.125000,11.704239,6505000
1997-11-04,29.093750,29.093750,28.593750,29.031250,11.666556,6270600
1997-11-05,29.031250,29.343750,28.750000,28.812500,11.578658,5635600
1997-11-06,28.812500,29.156250,28.531250,28.937500,11.628886,6092000
1997-11-07,28.718750,28.718750,27.968750,28.500000,11.453070,7584800
1997-11-10,28.500000,28.718750,27.812500,27.875000,11.201907,6303800
1997-11-11,28.000000,28.406250,28.000000,28.281250,11.365166,4647200
1997-11-12,28.281250,28.812500,28.031250,28.218750,11.340045,7542400
1997-11-13,28.375000,28.812500,28.375000,28.718750,11.540977,7904800
1997-11-14,28.718750,28.906250,28.250000,28.781250,11.566097,6647400
1997-11-17,29.125000,30.062500,29.125000,29.812500,11.980519,8549800
1997-11-18,29.812500,30.281250,29.625000,29.875000,12.005636,7615600
1997-11-19,29.875000,31.062500,29.750000,31.062500,12.482848,10506400
1997-11-20,31.312500,31.906250,31.312500,31.750000,12.759128,10096600
1997-11-21,31.750000,31.875000,31.218750,31.875000,12.809355,9488000
1997-11-24,31.781250,31.781250,31.281250,31.281250,12.570753,6105200
1997-11-25,31.343750,32.156250,31.343750,32.062500,12.884706,7393200
1997-11-26,32.031250,32.031250,31.187500,31.187500,12.588049,6400400
1997-11-28,31.218750,31.500000,31.218750,31.250000,12.613268,1953200
1997-12-01,31.281250,32.375000,31.281250,32.281250,13.029503,7679400
1997-12-02,32.468750,33.093750,32.468750,32.937500,13.294386,11096000
1997-12-03,32.937500,33.062500,32.406250,32.906250,13.281773,6606400
1997-12-04,32.906250,33.000000,32.250000,32.406250,13.079961,6271800
1997-12-05,32.406250,33.250000,32.375000,33.031250,13.332227,5987400
1997-12-08,32.875000,32.875000,31.500000,31.781250,12.827699,10053200
1997-12-09,31.781250,31.968750,31.437500,31.812500,12.840308,6445200
1997-12-10,31.812500,32.062500,31.468750,31.937500,12.890765,6047600
1997-12-11,31.937500,32.062500,31.593750,31.812500,12.840308,6752200
1997-12-12,31.937500,32.656250,31.937500,32.468750,13.105186,6554600
1997-12-15,32.500000,33.156250,32.500000,32.937500,13.294386,7177200
1997-12-16,32.937500,33.093750,32.531250,32.843750,13.256544,4456200
1997-12-17,32.843750,33.156250,32.687500,32.937500,13.294386,4877400
1997-12-18,32.937500,33.187500,32.093750,32.125000,12.966438,7065800
1997-12-19,32.125000,32.906250,31.125000,32.718750,13.206091,15696800
1997-12-22,32.718750,33.343750,32.562500,33.031250,13.332227,7435400
1997-12-23,33.031250,33.031250,32.406250,32.500000,13.117800,4260800
1997-12-24,32.500000,32.562500,32.187500,32.312500,13.042122,2728200
1997-12-26,32.312500,32.656250,32.187500,32.187500,12.991673,1067400
1997-12-29,32.656250,33.187500,32.656250,33.156250,13.382680,3854800
1997-12-30,33.281250,33.593750,33.281250,33.531250,13.534036,4494400
1997-12-31,33.468750,33.468750,33.093750,33.343750,13.458361,3640600
1998-01-02,33.343750,33.500000,32.968750,33.468750,13.508811,5443200
1998-01-05,33.437500,33.437500,32.625000,33.218750,13.407912,7691600
1998-01-06,33.218750,33.312500,32.906250,33.062500,13.344838,5448200
1998-01-07,33.062500,33.093750,32.562500,33.093750,13.357450,5357200
1998-01-08,33.093750,33.500000,32.875000,33.312500,13.445749,6323800
1998-01-09,33.312500,33.343750,32.031250,32.062500,12.941216,8747200
1998-01-12,32.062500,33.093750,31.125000,33.031250,13.332227,8895200
1998-01-13,33.031250,33.093750,32.312500,32.687500,13.193482,6400000
1998-01-14,32.625000,32.625000,32.125000,32.312500,13.042122,5673200
1998-01-15,32.218750,32.218750,31.781250,31.875000,12.865536,4166800
1998-01-16,32.156250,32.593750,32.156250,32.500000,13.117800,8217000
1998-01-20,32.531250,32.968750,32.531250,32.968750,13.307003,4942000
1998-01-21,32.968750,32.968750,32.500000,32.750000,13.218709,4477400
1998-01-22,32.750000,33.000000,32.343750,32.718750,13.206091,5446400
1998-01-23,32.718750,32.812500,31.812500,31.906250,12.878146,5033800
1998-01-26,31.906250,32.156250,31.218750,31.531250,12.726789,5051800
1998-01-27,31.531250,32.062500,31.406250,31.625000,12.764629,5669200
1998-01-28,31.625000,32.375000,31.187500,32.062500,12.941216,10064600
1998-01-29,32.093750,32.781250,32.093750,32.375000,13.067345,6681000
1998-01-30,32.375000,32.500000,32.250000,32.375000,13.067345,4994800
1998-02-02,32.625000,33.562500,32.625000,33.343750,13.458361,10112200
1998-02-03,33.343750,33.812500,33.250000,33.750000,13.622338,7294600
1998-02-04,33.718750,33.718750,33.375000,33.531250,13.534036,5980800
1998-02-05,33.531250,33.812500,33.406250,33.781250,13.634944,7490600
1998-02-06,33.781250,34.031250,33.593750,33.593750,13.559260,4298600
1998-02-09,33.593750,33.718750,33.500000,33.687500,13.597101,3552000
1998-02-10,33.687500,34.187500,33.687500,33.968750,13.710623,5323400
1998-02-11,33.968750,34.437500,33.906250,34.437500,13.899828,4338000
1998-02-12,34.437500,34.781250,33.968750,34.625000,13.975501,5871600
1998-02-13,34.593750,34.593750,34.125000,34.281250,13.836761,4396200
1998-02-17,34.281250,34.625000,34.093750,34.250000,13.824144,4680800
1998-02-18,34.250000,34.906250,34.062500,34.562500,13.950269,4588800
1998-02-19,34.500000,34.500000,34.218750,34.375000,13.874599,3483200
1998-02-20,34.375000,34.843750,34.250000,34.781250,14.038568,5884200
1998-02-23,34.781250,34.875000,34.312500,34.593750,13.962893,4430200
1998-02-24,34.531250,34.531250,34.031250,34.156250,13.786306,4511200
1998-02-25,34.218750,34.531250,34.218750,34.312500,13.849370,3796400
1998-02-26,34.312500,34.625000,34.187500,34.437500,13.899828,2958600
1998-02-27,34.437500,34.468750,34.156250,34.312500,13.849370,3544200
1998-03-02,34.312500,34.343750,33.968750,34.000000,13.723235,5421800
1998-03-03,34.000000,34.125000,33.781250,34.093750,13.761079,3897800
1998-03-04,34.093750,34.375000,33.812500,34.375000,13.874599,5010400
1998-03-05,34.375000,34.906250,34.187500,34.656250,13.988109,7645400
1998-03-06,34.781250,35.375000,34.781250,35.250000,14.227767,9568800
1998-03-09,35.250000,36.593750,35.250000,36.281250,14.644001,9636000
1998-03-10,36.281250,36.468750,36.281250,36.312500,14.656623,5093400
1998-03-11,36.250000,36.250000,35.937500,36.218750,14.679417,4748400
1998-03-12,36.218750,36.218750,35.812500,35.812500,14.514769,4878600
1998-03-13,35.812500,36.000000,35.187500,35.281250,14.299448,4027200
1998-03-16,35.406250,36.093750,35.406250,35.875000,14.540099,4828000
1998-03-17,35.875000,36.218750,35.687500,36.218750,14.679417,4683000
1998-03-18,36.218750,37.500000,36.125000,37.406250,15.160705,8973400
1998-03-19,37.406250,37.625000,37.125000,37.468750,15.186047,5914400
1998-03-20,37.468750,38.750000,37.468750,38.750000,15.705331,10567600
1998-03-23,38.312500,38.312500,37.625000,37.937500,15.376024,7623200
1998-03-24,37.937500,38.375000,37.718750,38.000000,15.401357,5543200
1998-03-25,38.000000,38.187500,37.718750,38.093750,15.439349,5285200
1998-03-26,38.093750,38.468750,37.656250,38.218750,15.490018,4528000
1998-03-27,38.218750,38.250000,37.437500,37.531250,15.211368,5057400
1998-03-30,38.156250,39.656250,38.156250,39.187500,15.882657,10732000
1998-03-31,39.187500,39.343750,38.562500,38.718750,15.692662,6896200
1998-04-01,38.718750,40.343750,38.718750,40.312500,16.338612,8855000
1998-04-02,40.312500,40.687500,39.906250,40.562500,16.439932,6690000
1998-04-03,40.562500,40.562500,39.906250,40.218750,16.300613,6801200
1998-04-06,40.218750,40.656250,39.625000,39.625000,16.059971,7718800
1998-04-07,39.562500,39.562500,38.968750,39.500000,16.009306,6177200
1998-04-08,39.500000,39.656250,38.625000,39.031250,15.819326,5503200
1998-04-09,39.031250,39.437500,38.906250,39.281250,15.920649,3912000
1998-04-13,39.156250,39.156250,38.437500,38.875000,15.755996,5482600
1998-04-14,38.875000,39.000000,38.406250,38.906250,15.768654,4980600
1998-04-15,38.906250,39.000000,37.812500,38.343750,15.540678,6630600
1998-04-16,38.343750,38.468750,36.937500,37.406250,15.160705,7165000
1998-04-17,37.406250,38.500000,36.843750,38.406250,15.566011,8330600
1998-04-20,38.406250,38.562500,37.500000,37.656250,15.262032,6923400
1998-04-21,37.656250,37.875000,37.093750,37.343750,15.135383,5545200
1998-04-22,37.343750,38.250000,37.000000,37.875000,15.350694,6809400
1998-04-23,37.812500,37.812500,37.218750,37.375000,15.148042,5773000
1998-04-24,37.375000,37.468750,36.500000,36.812500,14.920064,4950200
1998-04-27,36.718750,36.718750,35.937500,36.187500,14.666752,6224600
1998-04-28,36.218750,37.031250,36.218750,36.218750,14.679417,5871600
1998-04-29,36.312500,37.187500,36.312500,36.843750,14.932724,5490400
1998-04-30,37.093750,38.031250,37.093750,37.937500,15.376024,5719200
1998-05-01,37.937500,38.156250,37.531250,38.093750,15.439349,4886600
1998-05-04,38.093750,38.406250,38.062500,38.125000,15.452023,4467400
1998-05-05,38.125000,38.125000,37.406250,38.031250,15.414021,3733400
1998-05-06,38.031250,38.312500,37.812500,38.000000,15.401357,4714200
1998-05-07,38.000000,38.125000,37.687500,37.843750,15.338027,5112200
1998-05-08,37.875000,38.750000,37.875000,38.218750,15.490018,5470000
1998-05-11,38.437500,38.968750,38.437500,38.718750,15.692662,5788400
1998-05-12,38.718750,38.937500,38.375000,38.875000,15.755996,4218400
1998-05-13,38.875000,39.093750,38.500000,38.625000,15.654673,4853800
1998-05-14,38.625000,39.218750,38.437500,38.875000,15.755996,4586200
1998-05-15,38.875000,39.125000,38.375000,38.437500,15.578677,5917800
1998-05-18,38.437500,38.875000,38.437500,38.687500,15.680002,4417000
1998-05-19,38.812500,39.187500,38.812500,39.031250,15.819326,4154400
1998-05-20,39.031250,39.937500,38.906250,39.906250,16.173960,5574400
1998-05-21,39.906250,40.468750,39.625000,39.718750,16.097958,6537400
1998-05-22,39.718750,39.875000,39.156250,39.406250,15.971305,3618600
1998-05-26,39.406250,39.500000,38.687500,38.687500,15.680002,4409400
1998-05-27,38.687500,39.125000,38.250000,39.125000,15.857313,6239800
1998-05-28,39.125000,39.593750,38.875000,39.468750,15.996634,4448800
1998-05-29,39.468750,39.843750,39.187500,39.187500,15.882657,5249000
1998-06-01,39.218750,39.875000,39.218750,39.750000,16.110634,4791800
